rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs._(2013),total_docs._(3years),total_refs.,total_cites_(3years),citable_docs._(3years),cites_/_doc._(2years),ref._/_doc.,%female,overton,sdg,country,region,publisher,coverage,categories,areas,year,total_docs._(2014),total_docs._(2015),total_docs._(2016),total_docs._(2017),total_docs._(2018),total_docs._(2019),total_docs._(2020),total_docs._(2021),total_docs._(2022),total_docs._(2023),areas_split,Min_Percentile_own,sjr_best_quartile_own
16430,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,212",Q3,23,,29,793,26,28,"0,90","24,03","27,06",2,0,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Energy Engineering and Power Technology (Q3); Environmental Science (miscellaneous) (Q3); Renewable Energy, Sustainability and the Environment (Q3); Water Science and Technology (Q3)",Energy; Environmental Science,2014,33.0,,,,,,,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
19095,16400154787,Sustainability,journal,"19370709, 19370695","0,168",Q3,0,,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Geography, Planning and Development (Q3); Education (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)",Energy; Environmental Science; Social Sciences,2014,0.0,,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
31294,21100826280,Frontiers in Environmental Science,journal,2296665X,,-,77,,4,3179,1,2,"0,25","55,77","30,23",14,0,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous),Environmental Science,2014,57.0,,,,,,,,,,['Environmental Science'],10.306686777275011,Q1
31859,21100324365,Journal of Water Process Engineering,journal,22147144,,-,89,,0,3397,0,0,"0,00","43,55","31,10",4,0,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Biotechnology; Process Chemistry and Technology; Safety, Risk, Reliability and Quality; Waste Management and Disposal; Water Science and Technology","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2014,78.0,,,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
31981,21100317906,MethodsX,journal,22150161,,-,46,,0,561,0,0,"0,00","12,20","35,40",1,0,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Clinical Biochemistry; Medical Laboratory Technology,"Biochemistry, Genetics and Molecular Biology; Health Professions",2014,46.0,,,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
32036,21100253674,Nanomaterials,journal,20794991,,-,126,,73,4389,201,71,"2,39","63,61","33,92",1,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous); Materials Science (miscellaneous),Chemical Engineering; Materials Science,2014,69.0,,,,,,,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
690,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","2,921",Q1,421,,2087,98569,19289,2079,"8,87","86,62","26,22",359,0,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2015,,1138.0,,,,,,,,,['Energy'],0.5621925509486999,D1
1196,29348,Energy,journal,"18736785, 03605442","2,220",Q1,251,,2907,55653,16082,2860,"5,10","39,61","22,41",153,0,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2015,,1405.0,,,,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
1392,21100200805,Scientific Reports,journal,20452322,"2,034",Q1,315,,7040,457836,43041,7040,"5,79","43,85","33,47",615,0,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2015,,10442.0,,,,,,,,,['Multidisciplinary'],1.6,D1
1407,29372,Energy Conversion and Management,journal,01968904,"2,023",Q1,250,,1936,43634,10886,1917,"5,70","39,92","21,52",55,0,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2015,,1093.0,,,,,,,,,['Energy'],1.0541110330288124,D1
1438,23916,Environmental Pollution,journal,"02697491, 18736424","2,003",Q1,301,,1383,24796,7336,1341,"5,33","51,55","38,88",157,0,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2015,,481.0,,,,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
2015,25349,Science of the Total Environment,journal,"00489697, 18791026","1,653",Q1,353,,3740,85553,18078,3675,"4,58","57,30","37,85",545,0,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2015,,1493.0,,,,,,,,,['Environmental Science'],4.790748898678414,D1
2061,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,635",Q1,309,,1781,63593,11125,1765,"6,01","53,57","33,33",338,0,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2015,,1187.0,,,,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
2294,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,530",Q1,131,,436,6291,1773,421,"3,85","46,60","36,72",67,0,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2015,,135.0,,,,,,,,,['Environmental Science'],5.93490746649649,D1
2444,20292,Ecological Indicators,journal,1470160X,"1,478",Q1,183,,1203,25136,5302,1179,"3,86","56,23","37,31",119,0,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2015,,447.0,,,,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
2613,10600153309,PLoS ONE,journal,19326203,"1,427",Q1,435,,83705,1316039,321926,83699,"3,52","47,70","39,92",4198,0,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2015,,27591.0,,,,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
3462,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,189",Q1,243,,1607,31136,6904,1600,"3,82","52,51","35,52",166,0,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2015,,593.0,,,,,,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
3548,25776,Quaternary International,journal,10406182,"1,167",Q1,125,,1713,40097,3862,1609,"2,14","63,55","36,76",43,0,United Kingdom,Western Europe,Elsevier Ltd,1989-2023,Earth-Surface Processes (Q1),Earth and Planetary Sciences,2015,,631.0,,,,,,,,,['Earth and Planetary Sciences'],13.156230234029096,Q1
4307,15168,Hydrobiologia,journal,"15735117, 00188158","1,023",Q1,165,,1102,25249,2742,1080,"2,32","61,73","35,78",79,0,Netherlands,Western Europe,Springer Netherlands,1948-2023,Aquatic Science (Q1),Agricultural and Biological Sciences,2015,,409.0,,,,,,,,,['Agricultural and Biological Sciences'],14.082840236686389,Q1
5048,23918,Environmental Science and Pollution Research,journal,"09441344, 16147499","0,906",Q1,179,,2616,93688,7735,2559,"2,84","50,53","39,32",266,0,Germany,Western Europe,,1994-2023,"Medicine (miscellaneous) (Q1); Pollution (Q1); Environmental Chemistry (Q2); Health, Toxicology and Mutagenesis (Q2)",Environmental Science; Medicine,2015,,1854.0,,,,,,,,,"['Environmental Science', 'Medicine']",16.52839821314614,Q1
5252,21100220478,Urban Climate,journal,22120955,"0,879",Q1,75,,126,3517,328,120,"2,43","46,89","35,79",33,0,Netherlands,Western Europe,Elsevier B.V.,2012-2023,"Environmental Science (miscellaneous) (Q1); Geography, Planning and Development (Q1); Urban Studies (Q1); Atmospheric Science (Q2)",Earth and Planetary Sciences; Environmental Science; Social Sciences,2015,,75.0,,,,,,,,,"['Earth and Planetary Sciences', 'Environmental Science', 'Social Sciences']",5.219713522699684,D1
5635,76627,Materials,journal,19961944,"0,830",Q1,168,,955,25115,3309,951,"3,34","43,30","29,32",6,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,Materials Science (miscellaneous) (Q1),Materials Science,2015,,580.0,,,,,,,,,['Materials Science'],12.630208333333334,Q1
5816,19700194105,Sustainable Cities and Society,journal,"22106715, 22106707","0,810",Q1,130,,151,5366,468,150,"3,21","40,04","31,17",38,0,Netherlands,Western Europe,Elsevier B.V.,2011-2023,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q2); Transportation (Q2)",Energy; Engineering; Social Sciences,2015,,134.0,,,,,,,,,"['Energy', 'Engineering', 'Social Sciences']",1.1559990265271356,D1
5936,21100255493,Journal of Environmental Chemical Engineering,journal,"22133437, 22132929","0,797",Q1,127,,454,14028,1580,452,"3,48","40,54","33,04",15,0,United Kingdom,Western Europe,Elsevier B.V.,2013-2023,Chemical Engineering (miscellaneous) (Q1); Process Chemistry and Technology (Q1); Waste Management and Disposal (Q1); Pollution (Q2),Chemical Engineering; Environmental Science,2015,,346.0,,,,,,,,,"['Chemical Engineering', 'Environmental Science']",10.860366713681241,Q1
6046,62932,Energies,journal,19961073,"0,785",Q1,152,,1060,28643,3328,1057,"2,85","38,60","25,06",60,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2008-2023,"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1); Energy (miscellaneous) (Q1); Control and Optimization (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Engineering; Mathematics,2015,,742.0,,,,,,,,,"['Energy', 'Engineering', 'Mathematics']",9.5351137487636,D1
6522,21100374601,IEEE Access,journal,21693536,"0,729",Q1,242,,188,10572,923,185,"4,91","44,80","20,61",0,0,United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2013-2023,Computer Science (miscellaneous) (Q1); Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1),Computer Science; Engineering; Materials Science,2015,,236.0,,,,,,,,,"['Computer Science', 'Engineering', 'Materials Science']",7.281105990783409,D1
6957,13909,Geobios,journal,"00166995, 17775728","0,682",Q2,58,,137,2613,185,134,"1,29","76,85","23,53",0,0,France,Western Europe,Elsevier Masson s.r.l.,"1966, 1968-2023",Space and Planetary Science (Q2); Stratigraphy (Q2),Earth and Planetary Sciences,2015,,34.0,,,,,,,,,['Earth and Planetary Sciences'],22.059758423394786,Q1
7715,21100324365,Journal of Water Process Engineering,journal,22147144,"0,614",Q1,89,,78,5103,218,77,"2,79","44,76","30,96",3,0,United Kingdom,Western Europe,Elsevier Ltd,2014-2023,"Safety, Risk, Reliability and Quality (Q1); Biotechnology (Q2); Process Chemistry and Technology (Q2); Waste Management and Disposal (Q2); Water Science and Technology (Q2)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Environmental Science",2015,,114.0,,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Chemical Engineering', 'Engineering', 'Environmental Science']",6.7128900094547745,D1
8374,21100399705,Minerals,journal,2075163X,"0,560",Q2,58,,92,2587,177,91,"2,02","45,39","28,37",5,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2010-2023,Geology (Q2); Geotechnical Engineering and Engineering Geology (Q2),Earth and Planetary Sciences,2015,,57.0,,,,,,,,,['Earth and Planetary Sciences'],30.552220888355343,Q2
8882,15026,Flow Measurement and Instrumentation,journal,09555986,"0,521",Q2,69,,275,3532,494,271,"1,76","25,23","18,33",1,0,United Kingdom,Western Europe,Elsevier B.V.,1989-2023,Computer Science Applications (Q2); Electrical and Electronic Engineering (Q2); Instrumentation (Q2); Modeling and Simulation (Q2),Computer Science; Engineering; Mathematics; Physics and Astronomy,2015,,140.0,,,,,,,,,"['Computer Science', 'Engineering', 'Mathematics', 'Physics and Astronomy']",9.210060219624513,D1
9468,21100240100,Sustainability,journal,20711050,"0,482",Q2,169,,950,44639,1954,940,"2,00","53,02","36,76",215,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2009-2023,"Geography, Planning and Development (Q2); Management, Monitoring, Policy and Law (Q2); Renewable Energy, Sustainability and the Environment (Q2)",Energy; Environmental Science; Social Sciences,2015,,842.0,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
12735,12000154347,Environmental Engineering and Management Journal,journal,15829596,"0,322",Q3,46,,946,7315,700,903,"0,78","36,76","49,13",6,0,Romania,Eastern Europe,Gh. Asachi Technical University of Iasi,"1988, 2002-2023","Environmental Engineering (Q3); Management, Monitoring, Policy and Law (Q3); Pollution (Q3)",Environmental Science,2015,,199.0,,,,,,,,,['Environmental Science'],39.10034602076124,Q2
13506,21100774305,"Journal of Sustainable Development of Energy, Water and Environment Systems",journal,18489257,"0,294",Q2,23,,62,887,61,60,"0,98","26,88","24,18",6,0,Croatia,Eastern Europe,"International Centre for Sustainable Development of Energy, Water and Environment Systems SDEWES",2013-2023,"Energy Engineering and Power Technology (Q2); Environmental Science (miscellaneous) (Q3); Renewable Energy, Sustainability and the Environment (Q3); Water Science and Technology (Q3)",Energy; Environmental Science,2015,,33.0,,,,,,,,,"['Energy', 'Environmental Science']",18.622628250175683,Q1
14535,21100317906,MethodsX,journal,22150161,"0,263",Q3,46,,46,881,29,46,"0,63","13,55","43,18",1,0,Netherlands,Western Europe,Elsevier B.V.,2014-2023,Medical Laboratory Technology (Q3); Clinical Biochemistry (Q4),"Biochemistry, Genetics and Molecular Biology; Health Professions",2015,,65.0,,,,,,,,,"['Biochemistry, Genetics and Molecular Biology', 'Health Professions']",28.54785478547855,Q2
18201,21100372856,Data in Brief,journal,23523409,"0,187",Q3,52,,20,2915,7,0,"0,35","8,70","0,00",13,0,United States,Northern America,Elsevier Inc.,2014-2023,Multidisciplinary (Q3); Education (Q4),Multidisciplinary; Social Sciences,2015,,335.0,,,,,,,,,"['Multidisciplinary', 'Social Sciences']",18.367346938775512,Q1
20636,16400154787,Sustainability,journal,"19370709, 19370695","0,152",Q3,0,,0,0,0,0,"0,00","0,00","0,00",0,0,United States,Northern America,Mary Ann Liebert Inc.,2009-2020,"Geography, Planning and Development (Q3); Education (Q4); Management, Monitoring, Policy and Law (Q4); Renewable Energy, Sustainability and the Environment (Q4)",Energy; Environmental Science; Social Sciences,2015,,0.0,,,,,,,,,"['Energy', 'Environmental Science', 'Social Sciences']",12.157413914265636,Q1
31904,21100826280,Frontiers in Environmental Science,journal,2296665X,,-,77,,61,5644,116,58,"1,90","66,40","36,97",17,0,Switzerland,Western Europe,Frontiers Media SA,2013-2023,Environmental Science (miscellaneous),Environmental Science,2015,,85.0,,,,,,,,,['Environmental Science'],10.306686777275011,Q1
31984,21100411756,Heliyon,journal,24058440,,-,88,,0,1152,0,0,"0,00","39,72","23,53",2,0,Netherlands,Western Europe,Elsevier B.V.,2015-2023,Multidisciplinary,Multidisciplinary,2015,,29.0,,,,,,,,,['Multidisciplinary'],14.545454545454545,Q1
32715,21100253674,Nanomaterials,journal,20794991,,-,126,,136,7941,424,131,"2,85","65,63","33,26",5,0,Switzerland,Western Europe,Multidisciplinary Digital Publishing Institute (MDPI),2011-2023,Chemical Engineering (miscellaneous); Materials Science (miscellaneous),Chemical Engineering; Materials Science,2015,,121.0,,,,,,,,,"['Chemical Engineering', 'Materials Science']",13.069094804499196,Q1
643,27567,Renewable and Sustainable Energy Reviews,journal,"13640321, 18790690","2,998",Q1,421,,2646,125049,27118,2637,"9,44","93,88","24,73",377,0,United Kingdom,Western Europe,Elsevier Ltd,1997-2023,"Renewable Energy, Sustainability and the Environment (Q1)",Energy,2016,,,1332.0,,,,,,,,['Energy'],0.5621925509486999,D1
1142,29372,Energy Conversion and Management,journal,01968904,"2,232",Q1,250,,2710,42517,17129,2678,"6,28","42,22","22,89",41,0,United Kingdom,Western Europe,Elsevier Ltd,1979-2023,"Energy Engineering and Power Technology (Q1); Fuel Technology (Q1); Nuclear Energy and Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Energy,2016,,,1007.0,,,,,,,,['Energy'],1.0541110330288124,D1
1442,29348,Energy,journal,"18736785, 03605442","1,974",Q1,251,,3511,66714,19540,3479,"5,25","42,33","23,11",174,0,United Kingdom,Western Europe,Elsevier Ltd,1976-2023,Building and Construction (Q1); Civil and Structural Engineering (Q1); Electrical and Electronic Engineering (Q1); Energy (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Pollution (Q1),Energy; Engineering; Environmental Science,2016,,,1576.0,,,,,,,,"['Energy', 'Engineering', 'Environmental Science']",0.811078140454995,D1
1662,23916,Environmental Pollution,journal,"02697491, 18736424","1,827",Q1,301,,1435,51441,8146,1398,"5,36","54,43","40,65",270,0,United Kingdom,Western Europe,Elsevier Ltd,"1970-1980, 1986-2023","Health, Toxicology and Mutagenesis (Q1); Medicine (miscellaneous) (Q1); Pollution (Q1); Toxicology (Q1)","Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",2016,,,945.0,,,,,,,,"['Environmental Science', 'Medicine', 'Pharmacology, Toxicology and Pharmaceutics']",2.9769959404600814,D1
1915,21100200805,Scientific Reports,journal,20452322,"1,692",Q1,315,,16698,922953,85627,16698,"4,66","46,06","35,34",1138,0,United Kingdom,Western Europe,Nature Publishing Group,2011-2023,Multidisciplinary (Q1),Multidisciplinary,2016,,,20040.0,,,,,,,,['Multidisciplinary'],1.6,D1
1985,19167,Journal of Cleaner Production,journal,"09596526, 18791786","1,659",Q1,309,,2622,113823,17687,2601,"6,13","55,23","33,76",514,0,United Kingdom,Western Europe,Elsevier Ltd,1993-2023,"Environmental Science (miscellaneous) (Q1); Industrial and Manufacturing Engineering (Q1); Renewable Energy, Sustainability and the Environment (Q1); Strategy and Management (Q1)","Business, Management and Accounting; Energy; Engineering; Environmental Science",2016,,,2061.0,,,,,,,,"['Business, Management and Accounting', 'Energy', 'Engineering', 'Environmental Science']",1.8393623543838136,D1
2005,25349,Science of the Total Environment,journal,"00489697, 18791026","1,652",Q1,353,,4218,147264,23230,4153,"5,34","59,14","38,00",774,0,Netherlands,Western Europe,Elsevier B.V.,"1970, 1972-2024",Environmental Chemistry (Q1); Environmental Engineering (Q1); Pollution (Q1); Waste Management and Disposal (Q1),Environmental Science,2016,,,2490.0,,,,,,,,['Environmental Science'],4.790748898678414,D1
2703,23271,International Journal of Life Cycle Assessment,journal,"09483349, 16147502","1,386",Q1,131,,465,6172,1772,451,"3,22","43,46","38,23",70,0,Germany,Western Europe,,1996-2023,Environmental Science (miscellaneous) (Q1),Environmental Science,2016,,,142.0,,,,,,,,['Environmental Science'],5.93490746649649,D1
2823,20292,Ecological Indicators,journal,1470160X,"1,350",Q1,183,,1270,42947,5660,1248,"4,29","61,00","35,06",219,0,Netherlands,Western Europe,Elsevier B.V.,2001-2023,"Decision Sciences (miscellaneous) (Q1); Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)",Agricultural and Biological Sciences; Decision Sciences; Environmental Science,2016,,,704.0,,,,,,,,"['Agricultural and Biological Sciences', 'Decision Sciences', 'Environmental Science']",4.512195121951219,D1
3199,10600153309,PLoS ONE,journal,19326203,"1,236",Q1,435,,87998,1031906,307658,87989,"3,10","47,48","40,20",3255,0,United States,Northern America,Public Library of Science,2006-2023,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",2016,,,21734.0,,,,,,,,"['Agricultural and Biological Sciences', 'Biochemistry, Genetics and Molecular Biology', 'Medicine']",5.391467416783873,D1
3516,23371,Journal of Environmental Management,journal,"10958630, 03014797","1,161",Q1,243,,1653,39603,7679,1642,"4,57","50,71","35,07",170,0,United States,Northern America,Academic Press,"1973, 1975, 1977-2023","Environmental Engineering (Q1); Management, Monitoring, Policy and Law (Q1); Medicine (miscellaneous) (Q1); Waste Management and Disposal (Q1)",Environmental Science; Medicine,2016,,,781.0,,,,,,,,"['Environmental Science', 'Medicine']",6.52294085129906,D1
